"date";"Cod";"Tipo";"Moeda";"Taxa-de-compra";"Taxa-de-venda";"Paridade-compra";"Paridade-venda"
04/01/2019;005;A;AFN;0,04918000;0,05004000;75,20000000;76,50000000
04/01/2019;009;A;ETB;0,13160000;0,13300000;28,30000000;28,58000000
04/01/2019;015;A;THB;0,11690000;0,11700000;32,15000000;32,17000000
04/01/2019;020;A;PAB;3,76210000;3,76270000;1,00000000;1,00000000
04/01/2019;027;A;VES;0,00589500;0,00591100;636,58460000;638,18000000
04/01/2019;030;A;BOB;0,53670000;0,54850000;6,86000000;7,01000000
04/01/2019;035;A;GHS;0,77890000;0,78060000;4,82000000;4,83000000
04/01/2019;040;A;CRC;0,00620800;0,00624000;603,00000000;606,00000000
04/01/2019;045;A;SVC;0,42950000;0,43010000;8,74900000;8,75900000
04/01/2019;051;A;NIO;0,11580000;0,11610000;32,42000000;32,50000000
04/01/2019;055;A;DKK;0,57190000;0,57210000;6,57700000;6,57800000
04/01/2019;060;A;ISK;0,03179000;0,03188000;118,04000000;118,35000000
04/01/2019;065;A;NOK;0,43440000;0,43460000;8,65840000;8,66140000
04/01/2019;070;A;SEK;0,41750000;0,41770000;9,00840000;9,01140000
04/01/2019;075;A;CZK;0,16660000;0,16670000;22,56500000;22,57500000
04/01/2019;090;A;GMD;0,07398000;0,07488000;50,25000000;50,85000000
04/01/2019;095;A;DZD;0,03165000;0,03182000;118,26300000;118,85400000
04/01/2019;100;A;KWD;12,38350000;12,41820000;0,30300000;0,30380000
04/01/2019;105;A;BHD;9,97380000;9,98590000;0,37680000;0,37720000
04/01/2019;115;A;IQD;0,00313500;0,00317100;1186,43000000;1200,00000000
04/01/2019;125;A;JOD;5,28980000;5,31300000;0,70820000;0,71120000
04/01/2019;130;A;LYD;2,69780000;2,71190000;1,38750000;1,39450000
04/01/2019;132;A;MKD;0,06912000;0,06987000;53,85000000;54,43000000
04/01/2019;133;A;RSD;0,03604000;0,03619000;103,98000000;104,39000000
04/01/2019;134;A;SDG;0,07883000;0,07921000;47,50020000;47,72220000
04/01/2019;135;A;TND;1,23800000;1,23850000;3,03810000;3,03890000
04/01/2019;136;A;SSP;0,02419000;0,02451000;153,51490000;155,51490000
04/01/2019;138;B;SDR;5,23200000;5,23280000;1,39070000;1,39070000
04/01/2019;139;A;MAD;0,39400000;0,39420000;9,54430000;9,54930000
04/01/2019;145;A;AED;1,02410000;1,02450000;3,67280000;3,67350000
04/01/2019;148;A;STD;0,00017850;0,00017910;21005,00000000;21075,00000000
04/01/2019;150;B;AUD;2,64810000;2,64890000;0,70390000;0,70400000
04/01/2019;155;A;BSD;3,76210000;3,76270000;1,00000000;1,00000000
04/01/2019;160;A;BMD;3,76210000;3,76270000;1,00000000;1,00000000
04/01/2019;165;A;CAD;2,79770000;2,79900000;1,34430000;1,34470000
04/01/2019;170;A;GYD;0,01788000;0,01809000;207,98000000;210,45000000
04/01/2019;173;A;NAD;0,26550000;0,26570000;14,15900000;14,16900000
04/01/2019;175;A;BBD;1,85960000;1,90030000;1,98010000;2,02310000
04/01/2019;180;A;BZD;1,85030000;1,88300000;1,99820000;2,03320000
04/01/2019;185;A;BND;2,75890000;2,76000000;1,36330000;1,36360000
04/01/2019;190;A;KYD;4,48670000;4,56080000;0,82500000;0,83850000
04/01/2019;195;A;SGD;2,75890000;2,76000000;1,36330000;1,36360000
04/01/2019;197;B;CLF;150,68720000;150,71120000;40,05400000;40,05400000
04/01/2019;200;B;FJD;1,74110000;1,78280000;0,46280000;0,47380000
04/01/2019;205;A;HKD;0,48020000;0,48030000;7,83370000;7,83400000
04/01/2019;210;A;TTD;0,55080000;0,55960000;6,72400000;6,83000000
04/01/2019;215;A;XCD;1,38310000;1,39360000;2,70000000;2,72000000
04/01/2019;220;A;USD;3,76210000;3,76270000;1,00000000;1,00000000
04/01/2019;230;A;JMD;0,02928000;0,02969000;126,75000000;128,50000000
04/01/2019;235;A;LRD;0,02326000;0,02399000;156,82000000;161,71000000
04/01/2019;245;B;NZD;2,51230000;2,51350000;0,66780000;0,66800000
04/01/2019;250;B;SBD;0,45370000;0,48540000;0,12060000;0,12900000
04/01/2019;255;A;SRD;0,50030000;0,50640000;7,43000000;7,52000000
04/01/2019;260;A;VND;0,00016220;0,00016220;23198,00000000;23200,00000000
04/01/2019;275;A;AMD;0,00770900;0,00779800;482,50000000;488,00000000
04/01/2019;295;A;CVE;0,03814000;0,03875000;97,11000000;98,64000000
04/01/2019;325;A;ANG;2,11350000;2,12580000;1,77000000;1,78000000
04/01/2019;328;A;AWG;2,04460000;2,11390000;1,78000000;1,84000000
04/01/2019;345;A;HUF;0,01328000;0,01330000;282,93000000;283,33000000
04/01/2019;363;A;CDF;0,00226200;0,00231300;1627,00000000;1663,00000000
04/01/2019;365;A;BIF;0,00209300;0,00210300;1789,13000000;1797,18000000
04/01/2019;368;A;KMF;0,00868100;0,00872300;431,37000000;433,37000000
04/01/2019;370;A;XAF;0,00615500;0,00621500;605,41000000;611,20000000
04/01/2019;372;A;XOF;0,00648100;0,00656100;573,50000000;580,50000000
04/01/2019;380;A;XPF;0,03568000;0,03598000;104,57000000;105,45000000
04/01/2019;390;A;DJF;0,02107000;0,02120000;177,50000000;178,55000000
04/01/2019;398;A;GNF;0,00041160;0,00041390;9090,00000000;9140,00000000
04/01/2019;406;A;MGA;0,00107200;0,00107800;3492,00000000;3510,00000000
04/01/2019;420;A;RWF;0,00420700;0,00421600;892,53780000;894,22870000
04/01/2019;425;A;CHF;3,79930000;3,80150000;0,98980000;0,99020000
04/01/2019;440;A;HTG;0,04836000;0,04856000;77,48370000;77,78680000
04/01/2019;450;A;PYG;0,00062380;0,00062730;5998,54000000;6030,73000000
04/01/2019;460;A;UAH;0,13530000;0,13540000;27,79450000;27,81550000
04/01/2019;470;A;JPY;0,03468000;0,03469000;108,46000000;108,49000000
04/01/2019;482;A;GEL;1,39860000;1,41450000;2,66000000;2,69000000
04/01/2019;490;A;ALL;0,03445000;0,03468000;108,51000000;109,21000000
04/01/2019;495;A;HNL;0,15360000;0,15490000;24,29060000;24,50000000
04/01/2019;500;A;SLL;0,00043240;0,00043700;8610,00000000;8700,00000000
04/01/2019;503;A;MDL;0,21730000;0,21990000;17,11140000;17,31000000
04/01/2019;506;A;RON;0,91480000;0,91630000;4,10660000;4,11250000
04/01/2019;510;A;BGN;2,18350000;2,18440000;1,72250000;1,72300000
04/01/2019;530;B;GIP;4,75150000;4,75610000;1,26300000;1,26400000
04/01/2019;535;A;EGP;0,20950000;0,21070000;17,86000000;17,96000000
04/01/2019;540;B;GBP;4,75120000;4,75270000;1,26290000;1,26310000
04/01/2019;545;B;FKP;4,75150000;4,75610000;1,26300000;1,26400000
04/01/2019;560;A;LBP;0,00249100;0,00249900;1505,50000000;1510,50000000
04/01/2019;570;B;SHP;4,75760000;4,76210000;1,26460000;1,26560000
04/01/2019;575;A;SYP;0,00729700;0,00730600;515,00000000;515,60000000
04/01/2019;585;A;SZL;0,26530000;0,26610000;14,14000000;14,18210000
04/01/2019;603;A;LSL;0,26550000;0,26600000;14,14750000;14,16750000
04/01/2019;608;A;TMT;1,07490000;1,07810000;3,49000000;3,50000000
04/01/2019;622;A;MZN;0,06088000;0,06128000;61,40000000;61,80000000
04/01/2019;625;A;ERN;0,24830000;0,25080000;15,00000000;15,15000000
04/01/2019;630;A;NGN;0,01222000;0,01226000;306,95000000;307,95000000
04/01/2019;635;A;AOA;0,01218000;0,01223000;307,63000000;308,98000000
04/01/2019;640;A;TWD;0,12180000;0,12180000;30,88600000;30,89600000
04/01/2019;642;A;TRY;0,69440000;0,69470000;5,41610000;5,41810000
04/01/2019;660;A;PEN;1,11870000;1,11950000;3,36100000;3,36300000
04/01/2019;665;A;BTN;0,05394000;0,05397000;69,72200000;69,74400000
04/01/2019;670;A;MRO;0,01048000;0,01057000;356,00000000;359,00000000
